                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                0.73062,                0.38019,                0.92551,                0.94473,                0.95112,                0.96694,                 0.7059,                  1.204,                0.48872,                  1.163,               0.002344,               0.002344,               0.002344
                    118,                0.73164,                0.37778,                0.92107,                0.94051,                0.95263,                0.96684,                0.71765,                 1.2237,                0.49613,                 1.1599,               0.002278,               0.002278,               0.002278
                    119,                0.72462,                0.37958,                0.91944,                0.93848,                0.95355,                0.96579,                0.70549,                 1.2258,                0.48332,                 1.1623,               0.002212,               0.002212,               0.002212
                    120,                0.66376,                0.35723,                0.90269,                0.94285,                0.94902,                0.96902,                0.71468,                 1.2122,                0.47788,                 1.1576,               0.002146,               0.002146,               0.002146
                    121,                0.68567,                0.36179,                 0.9057,                0.95354,                0.94097,                0.96901,                0.72421,                 1.1965,                0.47211,                 1.1564,                0.00208,                0.00208,                0.00208
                    122,                0.68486,                0.36464,                0.91049,                0.94227,                0.94867,                0.96871,                0.72603,                 1.1858,                0.46678,                 1.1495,               0.002014,               0.002014,               0.002014
                    123,                0.69652,                0.37531,                 0.9125,                0.93506,                0.94389,                 0.9665,                 0.7218,                 1.2014,                0.49059,                 1.1563,               0.001948,               0.001948,               0.001948
                    124,                  0.721,                0.37537,                0.91269,                 0.9393,                0.95548,                0.96871,                0.72585,                 1.2003,                0.48524,                 1.1561,               0.001882,               0.001882,               0.001882
                    125,                0.69463,                0.37038,                0.90944,                0.95034,                0.94941,                0.96944,                0.72271,                 1.2111,                0.46518,                 1.1573,               0.001816,               0.001816,               0.001816
                    126,                0.67234,                 0.3582,                0.90912,                0.95671,                0.94941,                0.97098,                0.72397,                  1.192,                0.46311,                 1.1483,                0.00175,                0.00175,                0.00175
                    127,                0.66894,                0.35308,                0.90187,                0.95178,                0.93753,                0.96966,                0.72575,                 1.2171,                0.46236,                 1.1633,               0.001684,               0.001684,               0.001684
                    128,                0.66305,                0.35899,                0.90578,                0.95939,                0.94097,                   0.97,                 0.7185,                 1.2152,                0.47012,                  1.166,               0.001618,               0.001618,               0.001618
                    129,                0.65274,                0.35296,                0.89585,                0.95917,                0.94565,                0.96869,                0.71244,                 1.2055,                0.46097,                 1.1641,               0.001552,               0.001552,               0.001552
                    130,                0.66208,                0.35252,                0.89788,                0.96757,                0.93974,                0.96892,                0.71795,                 1.2165,                0.46219,                 1.1692,               0.001486,               0.001486,               0.001486
                    131,                0.65596,                0.35216,                0.89386,                0.96538,                0.94206,                0.96692,                0.72021,                 1.2074,                0.44427,                 1.1636,                0.00142,                0.00142,                0.00142
                    132,                0.68474,                0.35757,                0.90998,                0.95271,                0.94439,                0.96774,                0.71395,                 1.2173,                 0.4602,                 1.1785,               0.001354,               0.001354,               0.001354
                    133,                0.65996,                0.35323,                  0.902,                0.94912,                0.95143,                0.97004,                0.72197,                 1.2061,                0.45899,                 1.1763,               0.001288,               0.001288,               0.001288
                    134,                0.66838,                0.34788,                 0.8988,                0.96096,                 0.9401,                0.97099,                0.72487,                 1.2036,                0.45588,                 1.1659,               0.001222,               0.001222,               0.001222
                    135,                0.67129,                0.35442,                0.90096,                0.96062,                0.94292,                0.96857,                0.71741,                 1.2138,                0.45239,                  1.159,               0.001156,               0.001156,               0.001156
                    136,                0.65487,                0.34745,                  0.899,                0.96273,                0.94721,                0.97191,                 0.7147,                 1.2114,                0.46398,                 1.1588,                0.00109,                0.00109,                0.00109
                    137,                0.64681,                0.33864,                0.88787,                0.95898,                0.93468,                0.96403,                0.71499,                  1.199,                0.46042,                 1.1602,               0.001024,               0.001024,               0.001024
                    138,                0.63855,                0.34045,                0.89874,                0.95678,                  0.948,                0.96738,                0.71681,                 1.1988,                0.47088,                 1.1584,               0.000958,               0.000958,               0.000958
                    139,                0.62551,                0.34127,                0.90284,                 0.9495,                0.94849,                0.96443,                0.71623,                 1.2037,                0.46339,                 1.1585,               0.000892,               0.000892,               0.000892
                    140,                0.59941,                0.30943,                0.87374,                 0.9485,                0.94922,                0.96455,                0.71287,                 1.2113,                0.46746,                 1.1628,               0.000826,               0.000826,               0.000826
                    141,                0.59262,                0.30642,                0.87154,                 0.9338,                0.95225,                0.96394,                0.70992,                 1.2112,                0.47213,                 1.1667,                0.00076,                0.00076,                0.00076
                    142,                0.57563,                 0.3048,                0.87699,                0.93391,                0.95488,                0.96477,                0.71531,                 1.2064,                0.47744,                   1.16,               0.000694,               0.000694,               0.000694
                    143,                0.58153,                 0.3076,                 0.8738,                0.93156,                0.95078,                0.96451,                0.70909,                 1.2139,                0.46774,                  1.164,               0.000628,               0.000628,               0.000628
                    144,                0.56984,                0.29438,                0.86603,                0.94048,                 0.9477,                0.96248,                 0.7098,                   1.22,                0.46966,                 1.1702,               0.000562,               0.000562,               0.000562
                    145,                0.56401,                0.29611,                0.85637,                0.95083,                0.94749,                 0.9657,                0.71542,                 1.2173,                0.46614,                 1.1734,               0.000496,               0.000496,               0.000496
                    146,                0.58073,                 0.2987,                0.86913,                0.93946,                0.95199,                0.96406,                0.72281,                 1.2022,                0.46419,                 1.1608,                0.00043,                0.00043,                0.00043
                    147,                0.57114,                0.29529,                0.86624,                0.93979,                0.95485,                0.96646,                0.72086,                 1.2085,                0.46723,                 1.1684,               0.000364,               0.000364,               0.000364
                    148,                0.56558,                0.29061,                0.86414,                0.93983,                0.95486,                0.96421,                0.72439,                 1.2033,                0.47611,                 1.1668,               0.000298,               0.000298,               0.000298
                    149,                0.55052,                0.28837,                0.86636,                0.93991,                 0.9513,                0.96377,                0.72261,                 1.2039,                0.47608,                 1.1673,               0.000232,               0.000232,               0.000232
